nome-jogador,posicao-g-f-fc-cf-c,altura-cm,peso-kg,idade
Max Christie,1,195.6,86.2,22.0
Danté Exum,1,195.6,97.1,29.0
Jaden Hardy,1,190.5,89.8,22.0
Dereck Lively II,5,215.9,104.3,21.0
Anthony Davis,3,208.3,114.8,32.0
Dwight Powell,3,208.3,108.9,33.0
Olivier-Maxence Prosper,2,200.7,104.3,22.0
Brandon Williams,1,185.4,86.2,25.0
Kyrie Irving,1,188.0,88.5,33.0
Naji Marshall,2,198.1,99.8,27.0
Caleb Martin,2,195.6,93.0,29.0
Kessler Edwards,2,200.7,92.1,24.0
Daniel Gafford,3,208.3,120.2,26.0
Kai Jones,4,210.8,100.2,24.0
P.J. Washington,2,198.1,104.3,26.0
Spencer Dinwiddie,1,195.6,97.5,32.0
Klay Thompson,1,195.6,99.8,35.0
D'Angelo Russell,1,190.5,87.5,29.0
Ryan Nembhard,1,180.3,81.6,22.0
Miles Kelly,1,193.0,86.2,22.0
Moussa Cisse,5,210.8,99.8,23.0
Cooper Flagg,2,205.7,93.0,18.0
